&	P0	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19
1630	0.10418	0.10516	0.09981	0.10545	0.09951	0.09319	0.0992	0.08697	0.09321	0.09202	0.08061	0.09042	0.08951	0.09574	0.09189	0.10721	0.10058	0.10089	0.09558	0.10687
1629	0.10084	0.10739	0.09559	0.10937	0.10433	0.0908	0.09643	0.09503	0.08475	0.09635	0.09312	0.09466	0.09729	0.08851	0.09657	0.10229	0.0974	0.10004	0.09717	0.1109
1628	0.1114	0.11018	0.09529	0.10141	0.10252	0.10347	0.09191	0.08741	0.0974	0.10164	0.07993	0.08655	0.08461	0.09985	0.09827	0.10736	0.11398	0.1061	0.11292	0.10464
1627	0.10374	0.10703	0.0987	0.09496	0.09365	0.10186	0.09243	0.09807	0.09676	0.08697	0.09327	0.09177	0.08917	0.09946	0.09768	0.08996	0.09815	0.09914	0.10023	0.1079
1626	0.09993	0.09927	0.0908	0.10471	0.1039	0.0929	0.08725	0.094	0.09029	0.08859	0.09209	0.09362	0.08895	0.09934	0.10552	0.10167	0.10139	0.10687	0.09243	0.09372
1625	0.10326	0.10696	0.10766	0.11282	0.09603	0.11022	0.09729	0.09302	0.10002	0.10163	0.09155	0.0817	0.09889	0.10297	0.10473	0.10808	0.10445	0.09545	0.09723	0.10668
1624	0.09788	0.1143	0.1249	0.11398	0.10874	0.11508	0.11165	0.11161	0.0997	0.10416	0.10579	0.10295	0.1061	0.11135	0.1099	0.11072	0.1225	0.11869	0.1154	0.10331
1623	0.1158	0.1143	0.11683	0.12065	0.12067	0.107	0.10711	0.11002	0.09046	0.09684	0.09521	0.1132	0.09736	0.10914	0.10978	0.10886	0.11507	0.1134	0.10291	0.11766
1622	0.11405	0.12769	0.12244	0.11297	0.13178	0.11966	0.11181	0.09945	0.09848	0.11085	0.1005	0.10777	0.09351	0.11992	0.10925	0.11718	0.10714	0.12441	0.11931	0.12432
1621	0.11607	0.12874	0.11619	0.13051	0.12276	0.11737	0.12171	0.11176	0.10511	0.1068	0.10246	0.11655	0.11492	0.11396	0.11201	0.12141	0.12107	0.12443	0.11512	0.10743
1620	0.12324	0.13582	0.13548	0.13438	0.13023	0.12191	0.13197	0.11892	0.1093	0.12393	0.09928	0.11129	0.11081	0.12663	0.1194	0.13787	0.12795	0.13111	0.11786	0.11908
